Category,NPC/Facility,Location(s),Recipe / Method,Product,Required Skill(s),Materials,Item Type,Scope,Notes,Data Status,Source URL
Casting,Shipwright,Plymouth; Edinburgh; Antwerp; Ceuta; Ragusa; Trieste; Odessa; Kaffa,Process iron,Metal Work,Casting 6,Iron x30,Shipbuilding material,Basic NPC Production,NPC exclusive,Confirmed in Basic/Casting page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Casting
Casting,Shipwright,Trebizond,Make disassembly kit,Set of Dismantling Tools,Casting 8,Lumber x20; Carpentry Tools x10; Drill of Destruction x20,Tool,Basic NPC Production,NPC exclusive,Confirmed in Basic/Casting page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Casting
Casting,Weaponsmith,Amsterdam,Make Modified Light Gun Port,Modified Light Gun Port,Casting 5,Iron x20; Lumber x20,Ship part,Basic NPC Production,NPC exclusive,Confirmed in Basic/Casting page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Casting
Casting,Weaponsmith,Antwerp; Bordeaux; Hamburg; Amsterdam,Make Modified Standard Gun Port,Modified Standard Gun Port,Casting 9,Lumber x30; Metal Work x1,Ship part,Basic NPC Production,NPC exclusive,Confirmed in Basic/Casting page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Casting
Casting,Weaponsmith,Trujillo (C16 P2?),Make Modified Heavy Gun Port,Modified Heavy Gun Port,Casting 13,Iron x40; Processed Lumber x1; Metal Work x1,Ship part,Basic NPC Production,World-clock note in source,Confirmed in Basic/Casting page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Casting
Casting,Craftsman,Syracuse,Make Fireworks-general(W),Fireworks-general(W) x1~2,Casting 6,Gunpowder x5,Consumable / fireworks,Basic NPC Production,NPC exclusive,Confirmed in Basic/Casting page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Casting
Casting,Skilled Caster,Trujillo; Cayenne; Willemstad; Grand Cayman; Pernambuco; Caracas (to confirm),Iron plate hardening,Hardened Iron Plating,Casting 13,Steel x8; Iron Plating x1,Ship armour plate,Basic NPC Production,Requires investment/metropolis per page,Confirmed in Basic/Casting page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Casting
Casting,Skilled Caster,Trujillo; Cayenne; Willemstad; Grand Cayman; Pernambuco; Caracas (to confirm),Superior cannon (14),Cannon-gun (14),Casting 13,Cannon x29; Cannon Shot x32; Steel x29,Cannon,Basic NPC Production,Superior version uses fewer materials,Confirmed in Basic/Casting page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Casting
Casting,Skilled Caster,Trujillo; Cayenne; Willemstad; Grand Cayman; Pernambuco; Caracas (to confirm),Superior carronade (14),Carronade (14),Casting 14,Cannon x34; Cannon Shot x36; Steel x34,Cannon,Basic NPC Production,Superior version uses fewer materials,Confirmed in Basic/Casting page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Casting
Casting,Skilled Caster,Trujillo; Cayenne; Willemstad; Grand Cayman; Pernambuco; Caracas (to confirm),Superior iron plate hardening,Hardened Iron Plating,Casting 13; Wares Trading 5,Steel x8; Iron Plating x1,Ship armour plate,Basic NPC Production,Advanced skilled caster recipe,Confirmed in Basic/Casting page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Casting
Casting,Skilled Caster,Trujillo; Cayenne; Willemstad; Grand Cayman; Pernambuco; Caracas (to confirm),Custom cannon (14),Cannon-gun (14),Casting 13; Firearms Trading 5,Cannon x29; Cannon Shot x32; Steel x29,Cannon,Basic NPC Production,Great success may create higher-quality cannon,Confirmed in Basic/Casting page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Casting
Casting,Skilled Caster,Trujillo; Cayenne; Willemstad; Grand Cayman; Pernambuco; Caracas (to confirm),Custom carronade (14),Carronade (14),Casting 14; Firearms Trading 5,Cannon x34; Cannon Shot x36; Steel x34,Cannon,Basic NPC Production,Great success may create higher-quality carronade,Confirmed in Basic/Casting page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Casting
Casting,Craftsman,Istanbul,Make arrows,Darts x4~5,Casting 1,Logs x1,Land battle tool,Basic NPC Production / Book replacement,Book replacement NPC recipe,Confirmed in Basic/Casting page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Casting
Casting,Craftsman,Istanbul,Make hot oil,Adhesive Oil,Casting 2,Black-mud x1; Vegetable Oil x1,Land battle tool,Basic NPC Production / Book replacement,Book replacement NPC recipe,Confirmed in Basic/Casting page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Casting
Casting,Craftsman,Istanbul,Make dynamite,Incendiary Powder,Casting 2,Jute x1; Gunpowder x1,Land battle tool,Basic NPC Production / Book replacement,Book replacement NPC recipe,Confirmed in Basic/Casting page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Casting
Casting,Craftsman,Istanbul,Select throwing knives,Throwing Knife,Casting 3,Short Swords x1,Land battle tool,Basic NPC Production / Book replacement,Book replacement NPC recipe,Confirmed in Basic/Casting page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Casting
Casting,Craftsman,Istanbul,Mix combustible potion,Explosives -1 x4~5,Casting 4,Jute x2; Gunpowder x1,Land battle tool,Basic NPC Production / Book replacement,Book replacement NPC recipe,Confirmed in Basic/Casting page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Casting
Casting,Craftsman,Istanbul,Make smoking balls,Smoke Bomb x4~5,Casting 5,Saltpetre x1; Gunpowder x1,Land battle tool,Basic NPC Production / Book replacement,Book replacement NPC recipe,Confirmed in Basic/Casting page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Casting
Casting,Craftsman,Istanbul,Make javelins,Javelin x1~2,Casting 7,Logs x1; Throwing Knife x1,Land battle tool,Basic NPC Production / Book replacement,Book replacement NPC recipe,Confirmed in Basic/Casting page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Casting
Casting,Craftsman,Istanbul,Mix explosive potion,Explosives -2 x1~2,Casting 8,Jute x2; Gunpowder x2,Land battle tool,Basic NPC Production / Book replacement,Book replacement NPC recipe,Confirmed in Basic/Casting page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Casting
Casting,Craftsman,Naples,Make carpentry tools,Carpentry Tools x1~3,Casting 1,Lumber x1,Repair tool,Basic NPC Production / Book replacement,Book replacement NPC recipe,Confirmed in Basic/Casting page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Casting
Casting,Craftsman,Naples,Make spare rudders,Spare Rudder Wheel x1~2,Casting 2,Lumber x2,Repair tool,Basic NPC Production / Book replacement,Book replacement NPC recipe,Confirmed in Basic/Casting page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Casting
Casting,Craftsman,Naples,Casting a retreat bell,Bell of Withdrawal x1~2,Casting 3,Bronze x2,Battle consumable,Basic NPC Production / Book replacement,Book replacement NPC recipe,Confirmed in Basic/Casting page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Casting
Casting,Craftsman,Naples,Make incendiary pots,Firebomb x1~2,Casting 5,Black-mud x1; Gunpowder x2; Oil x1,Battle consumable,Basic NPC Production / Book replacement,Book replacement NPC recipe,Confirmed in Basic/Casting page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Casting
Casting,Craftsman,Naples,Make loaded bombs,Loaded Explosive x1~2,Casting 5,Gunpowder x2; Sulphur x1; Oil x1,Battle consumable,Basic NPC Production / Book replacement,Book replacement NPC recipe,Confirmed in Basic/Casting page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Casting
Casting,Craftsman,Naples,Make Steel cannonballs,Steel Cannonballs x1~2,Casting 6,Gunpowder x2; Cannon Shot x1; Steel x1,Ammunition,Basic NPC Production / Book replacement,Book replacement NPC recipe,Confirmed in Basic/Casting page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Casting
Casting,Craftsman,Naples,Make Master's Carpentry Tools,Master Craftsman's Carpentry Tools x1~2,Casting 12,White Ore x2; Iron x1; Lumber x1,Crafting tool,Basic NPC Production / Book replacement,Book replacement NPC recipe,Confirmed in Basic/Casting page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Casting
Casting,Craftsman,Naples,Method for master craftsman carpentry tools,Legendary Craftsman's Carpentry Tools x1~2,Casting 15,Steel x10; Lumber x10; Master Craftsman's Carpentry Tools x5,Crafting tool,Basic NPC Production / Book replacement,Book replacement NPC recipe,Confirmed in Basic/Casting page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Casting
Casting,Young Knight,Hamburg (16th century p2/p3/p4?),Smithing Long Undulating Swords,Zweihander,Casting 14,Steel x30; Improved Steel Sheet x10; Suede x20,Weapon,Basic NPC Production / Book replacement,Book replacement NPC recipe,Confirmed in Basic/Casting page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Casting
Handicrafts,Barmaid,Venice,Making Layering tools,Equipment Layering Tools x1~3,Handicrafts 7,Sewing Set x10; Dyestuff x10,Tool,Basic NPC Production,NPC exclusive,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Shipwright,The Azores,Process lime,Caustic Lime,Handicrafts 5,Boulders x5,Material,Basic NPC Production,NPC exclusive,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Shipwright,Buenos Aires; Caracas; Cayenne; Diu; Grand Cayman; Mozambique; Pernambuco; Pondicherry; Trujillo; Willemstad,Making processed lumber,Processed Lumber,Handicrafts 6,Lumber x30,Shipbuilding material,Basic NPC Production,NPC exclusive,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Shipwright,Sofala,Make repair tool kit,Set of Repair Tools,Handicrafts 8,Carpentry Tools x10; Spare Sail x10; Spare Rudder Wheel x10,Repair tool,Basic NPC Production,NPC exclusive,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Shipwright,Pohang; Sakai; Tamsui; Macau,Make Assault Cabin,Assault Cabin,Handicrafts 12,East Asia Shipbuilding Techniques x2; Special Ship Hold x1; Processed Lumber x1,Ship part,Basic NPC Production,NPC exclusive,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
