ItemName,ItemName_Japanese,ItemType,Bonus_Stats,Craft_Location,NPC_or_Facility,Materials,Skill_Rank,Contribution_Cost,Unlock_Conditions,Tradable_Bound,Notes,Data_Status,Source_URLs,Added_In_This_Version,Review_Priority
Mortarboard,モルタルボード,Academic headwear,Durability 50 for crafted version; Formality 15; Defense stat 5; Language +1,Florence special production / Medici-related special production,Anita (database labels as Florence Chamber of Commerce / special production),Wool x20; Wool Fabric x20; Gold Thread x5,Handicrafts rank 6,Handicrafts contribution 100,Total fame 2500,Not specified publicly,Item page distinguishes an Oxford sold version and a crafted version.,Confirmed,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4379 | https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4091,No,Normal
Feather Accessory,フェザーアクセサリー,Accessory,Lookout +1,Florence special production / Medici special production,Anita,Eagle Feathers x20; Tanned Leather x2; Natal Indigo x5,Handicrafts rank 10,Handicrafts contribution 560,No extra condition specified in extracted report,Not specified publicly,Bonus confirmed by category/Lookout boost index.,Confirmed,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4091 | https://gvo.gamedb.info/wiki/?BoostItem%2Fmer4%2FCategory3=,No,Normal
High-grade Amethyst Earrings,高級アメジストの耳飾り,Accessory,Durability 30; Formality 40; Precious Metals Trading +1; Social +1; fame 5000,Florence special production / Medici special production,Anita,Gold x3; Supreme Amethyst x7; High-grade Amethyst x50,Handicrafts rank 10,Handicrafts contribution 400,No extra condition specified in extracted report,Not specified publicly,Confirmed item page and Anita recipe.,Confirmed,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=5645 | https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4091,No,Normal
High-grade Amethyst Necklace,高級アメジストの首飾り,Accessory,Durability 30; Formality 40; Crafts Trading +1; Social +1; fame 5000,Florence special production / Medici special production,Anita,Gold x3; Supreme Amethyst x20; High-grade Amethyst x50,Handicrafts rank 10,Handicrafts contribution 400,No extra condition specified in extracted report,Not specified publicly,Confirmed item page and Anita recipe.,Confirmed,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=5646 | https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4091,No,Normal
Ribbon & Feather,リボン＆フェザー,Accessory / exact slot needs in-game check,Gathering +1,Florence special production / Medici special production,Anita,Leather Laces x30; Eagle Feathers x10; Tanned Leather x2,Handicrafts rank 10,Handicrafts contribution 550,No extra condition specified in extracted report,Not specified publicly,Bonus confirmed by merchant/production boost index; exact equipment slot should be checked in game.,"Confirmed bonus, slot not fully resolved",https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4091 | https://gvo.gamedb.info/wiki/?BoostItem%2Fmer3=,No,Normal
High-grade Diamond Earrings,高級ダイヤモンドの耳飾り,Accessory / jewelry,Durability 30; Formality 40; Precious Metals Trading +1; Accounting +1; total fame 5000 (family values confirmed on boost tables/item family),"Florence special production / Medici Workshop; accessed through NPC special production menu, not by carrying a normal recipe book",Anita / Chamber of Commerce special production,Gold x3; Supreme Diamond x7; High-grade Diamond x50,Handicrafts / Crafts rank 10,Handicrafts contribution 400,None specified beyond access to Florence special production,Not specified publicly,"Same Florence high-grade gem family as Amethyst accessories; each earring uses 7 supreme gems, each necklace uses 20 supreme gems.",Confirmed bonus + confirmed special recipe,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4091 | https://w.atwiki.jp/wiki11_dol/pages/15.html | https://w.atwiki.jp/wiki11_dol/pages/37.html,No,Normal
High-grade Diamond Necklace,高級ダイヤモンドの首飾り,Accessory / jewelry,Durability 30; Formality 40; Crafts Trading +1; Accounting +1; total fame 5000 (family values confirmed on boost tables/item family),"Florence special production / Medici Workshop; accessed through NPC special production menu, not by carrying a normal recipe book",Anita / Chamber of Commerce special production,Gold x3; Supreme Diamond x20; High-grade Diamond x50,Handicrafts / Crafts rank 10,Handicrafts contribution 400,None specified beyond access to Florence special production,Not specified publicly,"Same Florence high-grade gem family as Amethyst accessories; each earring uses 7 supreme gems, each necklace uses 20 supreme gems.",Confirmed bonus + confirmed special recipe,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4091 | https://w.atwiki.jp/wiki11_dol/pages/15.html | https://w.atwiki.jp/wiki11_dol/pages/20.html,No,Normal
High-grade Emerald Earrings,高級エメラルドの耳飾り,Accessory / jewelry,Durability 30; Formality 40; Precious Metals Trading +1; Persuasion +1; total fame 5000 (family values confirmed on boost tables/item family),"Florence special production / Medici Workshop; accessed through NPC special production menu, not by carrying a normal recipe book",Anita / Chamber of Commerce special production,Gold x3; High-grade Emerald x50; Supreme Emerald x7,Handicrafts / Crafts rank 10,Handicrafts contribution 400,None specified beyond access to Florence special production,Not specified publicly,"Same Florence high-grade gem family as Amethyst accessories; each earring uses 7 supreme gems, each necklace uses 20 supreme gems.",Confirmed bonus + confirmed special recipe,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4091 | https://w.atwiki.jp/wiki11_dol/pages/108.html | https://w.atwiki.jp/wiki11_dol/pages/37.html,No,Normal
High-grade Emerald Necklace,高級エメラルドの首飾り,Accessory / jewelry,Durability 30; Formality 40; Crafts Trading +1; Persuasion +1; total fame 5000 (family values confirmed on boost tables/item family),"Florence special production / Medici Workshop; accessed through NPC special production menu, not by carrying a normal recipe book",Anita / Chamber of Commerce special production,Gold x3; High-grade Emerald x50; Supreme Emerald x20,Handicrafts / Crafts rank 10,Handicrafts contribution 400,None specified beyond access to Florence special production,Not specified publicly,"Same Florence high-grade gem family as Amethyst accessories; each earring uses 7 supreme gems, each necklace uses 20 supreme gems.",Confirmed bonus + confirmed special recipe,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4091 | https://w.atwiki.jp/wiki11_dol/pages/108.html | https://w.atwiki.jp/wiki11_dol/pages/20.html,No,Normal
High-grade Garnet Earrings,高級ガーネットの耳飾り,Accessory / jewelry,Durability 30; Formality 40; Precious Metals Trading +1; Vigilance +1; total fame 5000 (family values confirmed on boost tables/item family),"Florence special production / Medici Workshop; accessed through NPC special production menu, not by carrying a normal recipe book",Anita / Chamber of Commerce special production,Gold x3; Supreme Garnet x7; High-grade Garnet x50,Handicrafts / Crafts rank 10,Handicrafts contribution 400,None specified beyond access to Florence special production,Not specified publicly,"Same Florence high-grade gem family as Amethyst accessories; each earring uses 7 supreme gems, each necklace uses 20 supreme gems.",Confirmed bonus + confirmed special recipe,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4091 | https://w.atwiki.jp/wiki11_dol/pages/100.html | https://w.atwiki.jp/wiki11_dol/pages/37.html,No,Normal
